Nodes total,Nodes during each observation,Broken frames due to collision,Completed transmissions
100,0,0,0
200,0,0,0
300,0,0,0
400,0,0,0
500,0,0,0
600,0,0,0
700,0,0,0
800,0,0,0
900,0,0,0
1000,0,0,0
1100,0,0,0
1200,0,0,0
1300,0,0,0
1400,0,0,0
1500,0,0,0
1600,0,0,0
1700,0,0,0
1800,0,0,0
1900,0,0,0
2000,0,0,0
2100,0,0,0
2200,0,0,0
2300,0,0,0
2400,0,0,0
2500,0,0,0
2600,0,0,0
2700,0,0,0
2800,0,0,0
2900,0,0,0
3000,0,0,0
3100,0,0,0
3200,0,0,0
3300,0,0,0
3400,0,0,0
3500,0,0,0
3600,0,0,0
3700,0,0,0
3800,0,0,0
3900,0,0,0
4000,0,0,0
4100,0,0,0
4200,0,0,0
4300,0,0,0
4400,0,0,0
4500,0,0,0
4600,0,0,0
4700,0,0,0
4800,0,0,0
4900,0,0,0
5000,0,0,0
5100,0,0,0
5200,0,0,0
5300,0,0,0
5400,0,0,0
5500,0,0,0
5600,0,0,0
5700,0,0,0
5800,0,0,0
5900,0,0,0
6000,0,0,0
6100,0,0,0
6200,0,0,0
6300,0,0,0
6400,0,0,0
6500,0,0,0
6600,0,0,0
6700,0,0,0
6800,0,0,0
6900,0,0,0
7000,0,0,0
7100,0,0,0
7200,0,0,0
7300,1,0,16
7400,1,0,10
7500,1,0,9
7600,1,0,9
7700,1,0,11
7800,1,0,9
7900,1,0,12
8000,1,0,9
8100,1,0,5
8200,1,0,8
8300,1,0,9
8400,1,0,12
8500,1,0,10
8600,1,0,9
8700,1,0,12
8800,1,0,8
8900,1,0,15
9000,1,0,7
9100,1,0,10
9200,1,0,10
9300,1,0,11
9400,1,0,8
9500,1,0,13
9600,1,0,9
9700,1,0,13
9800,1,0,15
9900,1,0,12
10000,1,0,9
10100,1,0,11
10200,1,0,6
10300,1,0,16
10400,1,0,11
10500,1,0,10
10600,1,0,9
10700,1,0,8
10800,1,0,10
10900,1,0,9
11000,1,0,15
11100,1,0,10
11200,1,0,8
11300,1,0,9
11400,1,0,8
11500,1,0,12
11600,1,0,10
11700,1,0,9
11800,1,0,10
11900,1,0,6
12000,1,0,10
12100,1,0,8
12200,1,0,7
12300,1,0,2
12400,1,0,5
12500,1,0,10
12600,1,0,7
12700,1,0,6
12800,1,0,10
12900,1,0,7
13000,1,0,12
13100,1,0,9
13200,1,0,13
13300,1,0,10
13400,1,0,8
13500,1,0,8
13600,1,0,8
13700,1,0,12
13800,1,0,13
13900,1,0,11
14000,1,0,15
14100,1,0,8
14200,1,0,9
14300,1,0,11
14400,1,0,13
14500,1,0,8
14600,1,0,9
14700,1,0,12
14800,1,0,9
14900,1,0,12
15000,1,0,10
15100,1,0,12
15200,1,0,7
15300,1,0,12
15400,1,0,12
15500,1,0,12
15600,1,0,12
15700,1,0,8
15800,1,0,12
15900,1,0,4
16000,1,0,12
16100,1,0,10
16200,1,0,14
16300,1,0,10
16400,1,0,8
16500,1,0,12
16600,1,0,8
16700,1,0,12
16800,1,0,7
16900,1,0,14
17000,1,0,7
17100,1,0,13
17200,1,0,9
17300,1,0,10
17400,1,0,13
17500,1,0,14
17600,1,0,9
17700,1,0,4
17800,1,0,17
17900,1,0,8
18000,1,0,13
18100,1,0,7
18200,1,0,8
18300,1,0,8
18400,1,0,13
18500,1,0,4
18600,1,0,8
18700,1,0,8
18800,1,0,7
18900,1,0,9
19000,1,0,11
19100,1,0,10
19200,1,0,14
19300,1,0,10
19400,1,0,12
19500,1,0,8
19600,1,0,5
