Nodes total,Nodes during each observation,Broken frames due to collision,Completed transmissions
100,0,0,0
200,0,0,0
300,0,0,0
400,0,0,0
500,0,0,0
600,0,0,0
700,0,0,0
800,0,0,0
900,0,0,0
1000,0,0,0
1100,0,0,0
1200,0,0,0
1300,0,0,0
1400,0,0,0
1500,0,0,0
1600,0,0,0
1700,0,0,0
1800,0,0,0
1900,0,0,0
2000,0,0,0
2100,0,0,0
2200,0,0,0
2300,0,0,0
2400,0,0,0
2500,0,0,0
2600,0,0,0
2700,0,0,0
2800,0,0,0
2900,0,0,0
3000,0,0,0
3100,0,0,0
3200,0,0,0
3300,0,0,0
3400,0,0,0
3500,0,0,0
3600,0,0,0
3700,0,0,0
3800,0,0,0
3900,0,0,0
4000,0,0,0
4100,0,0,0
4200,0,0,0
4300,0,0,0
4400,0,0,0
4500,0,0,0
4600,0,0,0
4700,0,0,0
4800,0,0,0
4900,0,0,0
5000,0,0,0
5100,0,0,0
5200,0,0,0
5300,0,0,0
5400,0,0,0
5500,0,0,0
5600,0,0,0
5700,0,0,0
5800,0,0,0
5900,0,0,0
6000,0,0,0
6100,0,0,0
6200,0,0,0
6300,0,0,0
6400,0,0,0
6500,0,0,0
6600,0,0,0
6700,0,0,0
6800,0,0,0
6900,0,0,0
7000,0,0,0
7100,0,0,0
7200,0,0,0
7300,1,0,13
7400,1,0,13
7500,1,0,14
7600,1,0,11
7700,1,0,11
7800,1,0,7
7900,1,0,13
8000,1,0,15
8100,1,0,4
8200,1,0,15
8300,1,0,8
8400,1,0,9
8500,1,0,12
8600,1,0,6
8700,1,0,12
8800,1,0,8
8900,1,0,13
9000,1,0,7
9100,1,0,10
9200,1,0,11
9300,1,0,11
9400,1,0,9
9500,1,0,10
9600,1,0,7
9700,1,0,11
9800,1,0,10
9900,1,0,8
10000,1,0,7
10100,1,0,10
10200,1,0,12
10300,1,0,6
10400,1,0,10
10500,1,0,13
10600,1,0,14
10700,1,0,12
10800,1,0,11
10900,1,0,9
11000,1,0,7
11100,1,0,10
11200,1,0,13
11300,1,0,8
11400,1,0,13
11500,1,0,5
11600,1,0,13
11700,1,0,7
11800,1,0,12
11900,1,0,8
12000,1,0,2
12100,1,0,8
12200,1,0,9
12300,1,0,8
12400,1,0,11
12500,1,0,11
12600,1,0,9
12700,1,0,13
12800,1,0,12
12900,1,0,13
13000,1,0,7
13100,1,0,10
13200,1,0,11
13300,1,0,8
13400,1,0,10
13500,1,0,10
13600,1,0,6
13700,1,0,12
13800,1,0,8
13900,1,0,10
14000,1,0,12
14100,1,0,10
14200,1,0,14
14300,1,0,11
14400,1,0,5
14500,1,0,16
14600,1,0,14
14700,1,0,13
14800,1,0,6
14900,1,0,7
15000,1,0,10
15100,1,0,11
15200,1,0,10
15300,1,0,13
15400,1,0,17
15500,1,0,10
15600,1,0,12
15700,1,0,12
15800,1,0,14
15900,1,0,9
16000,1,0,8
16100,1,0,7
16200,1,0,8
16300,1,0,14
16400,1,0,13
16500,1,0,9
16600,1,0,12
16700,1,0,9
16800,1,0,8
16900,1,0,14
17000,1,0,7
17100,1,0,10
17200,1,0,5
17300,1,0,11
17400,1,0,8
17500,1,0,11
17600,1,0,8
17700,1,0,7
17800,1,0,6
17900,1,0,13
18000,1,0,11
18100,1,0,9
18200,1,0,10
18300,1,0,9
18400,1,0,8
18500,1,0,19
18600,1,0,12
18700,1,0,7
18800,1,0,9
18900,1,0,13
19000,1,0,11
19100,1,0,10
19200,1,0,8
19300,1,0,13
19400,1,0,12
19500,1,0,11
19600,1,0,10
19700,1,0,9
19800,1,0,6
19900,1,0,9
20000,1,0,10
20100,1,0,11
20200,1,0,11
20300,1,0,13
20400,1,0,8
20500,1,0,13
20600,1,0,12
20700,1,0,7
20800,1,0,15
20900,1,0,6
21000,1,0,14
21100,1,0,15
21200,1,0,8
21300,1,0,10
21400,1,0,8
21500,1,0,11
21600,1,0,6
21700,2,0,13
21800,2,2,14
21900,2,4,16
22000,2,4,19
22100,2,4,18
22200,2,2,19
22300,2,6,17
22400,2,2,16
22500,2,4,15
22600,2,2,17
22700,2,2,21
22800,2,4,15
22900,2,2,17
23000,2,0,19
23100,2,8,17
23200,2,0,16
23300,2,2,14
23400,2,4,17
23500,2,8,15
23600,2,4,18
23700,2,0,12
23800,2,6,20
23900,2,6,22
24000,2,4,19
24100,2,4,16
24200,2,0,14
24300,2,0,13
24400,2,4,16
24500,2,8,21
24600,2,0,21
24700,2,2,17
24800,2,0,21
24900,2,4,10
25000,2,0,16
25100,2,2,19
25200,2,6,13
25300,2,2,12
25400,2,4,20
25500,2,8,13
25600,2,4,15
25700,2,4,8
25800,2,4,24
25900,2,4,10
26000,2,4,17
26100,2,4,14
26200,2,4,20
26300,2,4,18
26400,2,8,13
26500,2,2,19
26600,2,4,18
26700,2,10,10
26800,2,8,13
26900,2,2,22
27000,2,0,11
27100,2,4,16
27200,2,4,21
27300,2,2,21
27400,2,2,12
27500,2,4,21
27600,2,2,13
27700,2,4,12
27800,2,2,18
27900,2,6,22
28000,2,0,21
28100,2,6,12
28200,2,2,18
28300,2,4,14
28400,2,2,17
28500,2,2,26
28600,2,6,17
28700,2,2,13
28800,2,4,17
28900,2,2,17
29000,2,6,13
29100,2,0,15
29200,2,4,19
29300,2,4,16
29400,2,2,14
29500,2,0,20
29600,2,4,9
29700,2,2,23
29800,2,0,13
29900,2,6,14
30000,2,4,16
30100,2,2,17
30200,2,0,11
30300,2,4,18
30400,2,2,14
30500,2,6,16
30600,2,2,19
30700,2,2,16
30800,2,4,17
30900,2,2,11
31000,2,2,10
31100,2,2,12
31200,2,10,15
31300,2,4,10
31400,2,2,15
31500,2,4,15
31600,2,0,17
31700,2,2,21
31800,2,4,20
31900,2,4,17
32000,2,0,16
32100,2,6,19
32200,2,6,18
32300,2,4,21
32400,2,2,18
32500,2,2,15
32600,2,2,16
32700,2,8,15
32800,2,4,15
32900,2,2,18
33000,2,4,19
33100,2,6,14
33200,2,4,23
33300,2,0,18
33400,2,6,19
33500,2,6,11
33600,2,8,22
33700,2,4,11
33800,2,4,12
33900,2,4,10
34000,2,0,19
34100,2,2,18
34200,2,10,13
34300,2,4,13
34400,2,4,17
34500,2,0,16
34600,2,2,23
34700,2,4,18
34800,2,4,16
34900,2,4,13
35000,2,4,17
35100,2,2,19
35200,2,4,17
35300,2,10,17
35400,2,2,19
35500,2,8,19
35600,2,0,16
35700,2,0,22
35800,2,4,18
35900,2,4,19
36000,2,0,20
36100,3,6,25
36200,3,15,22
36300,3,13,17
36400,3,4,19
36500,3,10,29
36600,3,4,24
36700,3,12,25
36800,3,10,16
36900,3,14,16
37000,3,10,30
37100,3,4,21
37200,3,0,20
37300,3,10,22
37400,3,16,18
37500,3,5,21
37600,3,12,21
37700,3,16,24
37800,3,6,19
37900,3,10,24
38000,3,16,23
38100,3,9,23
38200,3,13,20
38300,3,12,20
38400,3,4,15
38500,3,6,18
38600,3,7,21
38700,3,16,17
38800,3,4,26
38900,3,14,21
39000,3,2,21
39100,3,8,25
39200,3,10,20
39300,3,8,24
39400,3,12,22
39500,3,12,18
39600,3,12,22
39700,3,6,27
39800,3,16,24
39900,3,4,15
40000,3,6,18
40100,3,9,29
40200,3,14,22
40300,3,6,28
40400,3,6,18
40500,3,12,22
40600,3,13,17
40700,3,6,25
40800,3,11,23
40900,3,2,19
41000,3,10,18
41100,3,17,18
41200,3,8,22
41300,3,10,27
41400,3,16,18
41500,3,10,18
41600,3,6,28
41700,3,8,22
41800,3,9,24
41900,3,16,18
42000,3,4,23
42100,3,6,26
42200,3,10,21
42300,3,10,19
42400,3,4,19
42500,3,10,20
42600,3,10,21
42700,3,2,24
42800,3,14,19
42900,3,4,22
43000,3,16,17
43100,3,7,23
43200,3,8,25
43300,3,10,14
43400,3,9,14
43500,3,16,19
43600,3,22,20
43700,3,6,22
43800,3,8,17
43900,3,14,18
44000,3,18,22
44100,3,8,23
44200,3,0,18
44300,3,6,18
44400,3,12,24
44500,3,14,20
44600,3,8,26
44700,3,4,29
44800,3,12,19
44900,3,6,21
45000,3,6,21
45100,3,10,21
45200,3,6,22
45300,3,8,20
45400,3,8,24
45500,3,11,22
45600,3,10,12
45700,3,15,21
45800,3,10,23
45900,3,6,24
46000,3,6,23
46100,3,6,29
46200,3,10,26
46300,3,16,17
46400,3,2,27
46500,3,14,25
46600,3,14,23
46700,3,12,25
46800,3,12,15
46900,3,6,27
47000,3,18,19
47100,3,8,27
47200,3,8,21
47300,3,6,18
47400,3,14,20
47500,3,6,22
47600,3,8,17
47700,3,0,22
47800,3,4,21
47900,3,12,26
48000,3,6,24
48100,3,4,17
48200,3,8,21
48300,3,12,19
48400,3,12,23
48500,3,14,23
48600,3,7,24
48700,3,10,21
48800,3,16,20
48900,3,13,19
49000,3,14,18
49100,3,18,15
49200,3,12,17
49300,3,18,17
49400,3,12,19
49500,3,6,16
49600,3,9,20
49700,3,10,20
49800,3,8,23
49900,3,12,16
50000,3,4,19
50100,3,6,19
50200,3,12,15
50300,3,15,16
50400,3,6,19
50500,4,17,18
50600,4,14,11
50700,4,14,22
50800,4,25,24
50900,4,20,26
51000,4,8,16
51100,4,14,27
51200,4,8,24
51300,4,29,18
51400,4,15,20
51500,4,4,23
51600,4,22,18
51700,4,15,23
51800,4,24,25
51900,4,14,16
52000,4,12,26
52100,4,17,24
52200,4,24,19
52300,4,12,26
52400,4,15,18
52500,4,25,21
52600,4,15,20
52700,4,14,17
52800,4,14,29
52900,4,22,21
53000,4,19,23
53100,4,11,30
53200,4,22,27
53300,4,23,18
53400,4,17,24
53500,4,25,16
53600,4,21,19
53700,4,18,18
53800,4,19,26
53900,4,16,23
54000,4,12,25
54100,4,22,21
54200,4,19,26
54300,4,18,28
54400,4,17,28
54500,4,19,22
54600,4,32,18
54700,4,17,21
54800,4,25,25
54900,4,20,24
55000,4,7,23
55100,4,21,28
55200,4,21,16
55300,4,6,22
55400,4,29,19
55500,4,11,29
55600,4,18,30
55700,4,15,19
55800,4,21,24
55900,4,18,19
56000,4,22,24
56100,4,22,23
56200,4,16,23
56300,4,18,23
56400,4,15,24
56500,4,19,28
56600,4,14,28
56700,4,21,20
56800,4,17,20
56900,4,30,14
57000,4,10,20
57100,4,22,23
57200,4,13,24
57300,4,17,27
57400,4,12,23
57500,4,16,19
57600,4,16,21
57700,4,25,22
57800,4,19,22
57900,4,23,32
58000,4,6,32
58100,4,19,29
58200,4,24,26
58300,4,21,21
58400,4,7,23
58500,4,18,20
58600,4,25,27
58700,4,14,24
58800,4,18,24
58900,4,14,21
59000,4,21,20
59100,4,14,25
59200,4,18,22
59300,4,14,21
59400,4,17,22
59500,4,18,27
59600,4,10,31
59700,4,16,24
59800,4,15,29
59900,4,16,20
60000,4,12,23
60100,4,25,21
60200,4,19,27
60300,4,28,15
60400,4,27,16
60500,4,19,31
60600,4,20,26
60700,4,20,22
60800,4,14,25
60900,4,31,16
61000,4,16,21
61100,4,26,20
61200,4,28,20
61300,4,13,17
61400,4,21,15
61500,4,19,23
61600,4,24,18
61700,4,16,27
61800,4,19,20
61900,4,10,19
62000,4,12,26
62100,4,17,22
62200,4,23,21
62300,4,21,24
62400,4,18,25
62500,4,16,21
62600,4,13,26
62700,4,23,26
62800,4,13,23
62900,4,17,24
63000,4,13,22
63100,4,25,23
63200,4,17,28
63300,4,17,16
63400,4,20,16
63500,4,18,25
63600,4,23,22
63700,4,10,27
63800,4,14,20
63900,4,12,25
64000,4,20,18
64100,4,13,25
64200,4,12,17
64300,4,16,21
64400,4,23,17
64500,4,18,23
64600,4,17,31
64700,4,16,21
64800,4,11,25
64900,5,22,22
65000,5,20,22
65100,5,28,22
65200,5,29,26
65300,5,41,23
65400,5,35,19
65500,5,17,30
65600,5,38,17
65700,5,31,25
65800,5,15,30
65900,5,24,26
66000,5,35,22
66100,5,26,21
66200,5,40,24
66300,5,38,19
66400,5,27,27
66500,5,27,24
66600,5,27,32
66700,5,21,24
66800,5,18,29
66900,5,30,19
67000,5,32,23
67100,5,30,22
67200,5,22,17
67300,5,30,21
67400,5,25,27
67500,5,28,25
67600,5,29,25
67700,5,27,21
67800,5,23,32
67900,5,30,25
68000,5,27,25
68100,5,27,28
68200,5,39,23
68300,5,32,29
68400,5,28,27
68500,5,29,27
68600,5,33,25
68700,5,31,20
68800,5,18,26
68900,5,20,25
69000,5,23,27
69100,5,29,15
69200,5,29,30
69300,5,30,20
69400,5,25,29
69500,5,25,26
69600,5,17,21
69700,5,27,27
69800,5,27,22
69900,5,27,24
70000,5,22,22
70100,5,32,20
70200,5,25,20
70300,5,18,21
70400,5,38,23
70500,5,18,25
70600,5,25,26
70700,5,21,27
70800,5,43,19
70900,5,25,24
71000,5,20,23
71100,5,38,17
71200,5,21,27
71300,5,38,20
71400,5,19,23
71500,5,17,29
71600,5,31,25
71700,5,24,22
71800,5,22,23
71900,5,24,21
72000,5,23,21
72100,5,29,25
72200,5,32,23
72300,5,27,16
72400,5,26,25
72500,5,27,24
72600,5,30,29
72700,5,27,23
72800,5,25,28
72900,5,22,31
73000,5,23,29
73100,5,26,21
73200,5,22,31
73300,5,23,31
73400,5,26,16
73500,5,24,17
73600,5,23,25
73700,5,18,24
73800,5,22,16
73900,5,26,27
74000,5,23,24
74100,5,30,27
74200,5,31,19
74300,5,24,25
74400,5,27,24
74500,5,21,21
74600,5,24,20
74700,5,24,27
74800,5,26,24
74900,5,12,26
75000,5,31,20
75100,5,21,24
75200,5,26,26
75300,5,22,23
75400,5,45,25
75500,5,22,23
75600,5,48,20
75700,5,39,19
75800,5,35,29
75900,5,39,22
76000,5,20,26
76100,5,21,22
76200,5,30,27
76300,5,22,20
76400,5,24,21
76500,5,32,12
76600,5,18,35
76700,5,24,26
76800,5,23,35
76900,5,29,18
77000,5,12,30
77100,5,26,30
77200,5,13,29
77300,5,20,24
77400,5,22,26
77500,5,23,23
77600,5,40,19
77700,5,22,22
77800,5,40,19
77900,5,33,21
78000,5,24,30
78100,5,27,24
78200,5,36,19
78300,5,20,22
78400,5,18,33
78500,5,19,30
78600,5,24,23
78700,5,46,18
78800,5,23,27
78900,5,16,24
79000,5,23,29
79100,5,18,25
79200,5,29,24
79300,6,55,18
79400,6,38,23
79500,6,28,22
79600,6,44,20
79700,6,32,30
79800,6,43,22
79900,6,23,29
80000,6,29,27
80100,6,40,21
80200,6,39,27
80300,6,35,21
80400,6,28,23
80500,6,41,22
80600,6,44,23
80700,6,33,25
80800,6,26,20
80900,6,39,30
81000,6,35,25
81100,6,33,20
