Nodes total,Nodes during each observation,Broken frames due to collision,Completed transmissions
1000,0.1,0,0
2000,0.03333333333333333,0,0
3000,0.16666666666666666,0,0
4000,0.18333333333333332,0,1
5000,0.4,0,7
6000,0.3333333333333333,0,4
7000,0.5833333333333334,0,8
8000,0.48333333333333334,0,5
9000,0.5333333333333333,0,3
10000,0.7,0,5
11000,0.85,0,8
12000,0.8333333333333334,0,11
13000,0.9833333333333333,2,10
14000,0.95,0,6
15000,1.0166666666666666,0,9
16000,1.1,0,8
17000,1.0833333333333333,0,9
18000,1.1666666666666667,0,8
19000,1.2833333333333334,0,9
20000,1.3,0,14
21000,1.4166666666666667,2,15
22000,1.55,2,16
23000,1.6666666666666667,6,13
24000,1.7,2,14
25000,1.7333333333333334,2,14
26000,1.8,4,17
27000,1.9,0,19
28000,1.9333333333333333,0,17
29000,2.1,4,18
30000,2.066666666666667,4,17
31000,2.0833333333333335,2,21
32000,2.2666666666666666,4,17
33000,2.283333333333333,8,16
34000,2.283333333333333,0,23
35000,2.4833333333333334,4,20
36000,2.55,4,14
37000,2.5833333333333335,2,18
38000,2.7,8,18
39000,2.683333333333333,8,20
40000,2.85,8,21
41000,2.8833333333333333,12,24
42000,2.966666666666667,10,17
43000,3.0166666666666666,6,16
44000,3.033333333333333,10,25
45000,3.1333333333333333,8,16
46000,3.183333333333333,12,19
47000,3.183333333333333,12,21
48000,3.3666666666666667,17,17
49000,3.316666666666667,8,18
50000,3.3666666666666667,17,20
51000,3.55,18,20
52000,3.683333333333333,18,26
53000,3.7333333333333334,34,16
54000,3.816666666666667,18,22
55000,3.933333333333333,30,26
56000,3.85,14,24
57000,3.933333333333333,14,18
58000,4.033333333333333,17,18
59000,4.05,12,33
60000,4.116666666666666,21,24
61000,4.083333333333333,23,22
62000,4.266666666666667,36,19
63000,4.2,14,26
64000,4.516666666666667,20,30
65000,4.583333333333333,21,21
66000,4.6,25,23
67000,4.633333333333334,25,27
68000,4.866666666666666,20,32
69000,4.816666666666666,24,24
70000,4.9,36,16
71000,4.933333333333334,35,17
72000,5.066666666666666,43,23
73000,5.033333333333333,28,25
74000,5.1,21,25
75000,5.1,32,19
76000,5.216666666666667,20,20
77000,5.2,14,32
78000,5.416666666666667,19,27
79000,5.566666666666666,48,19
80000,5.65,29,24
81000,5.65,36,21
82000,5.65,27,20
83000,5.783333333333333,49,21
84000,5.85,34,25
85000,6.0,44,21
86000,6.05,37,24
87000,6.05,37,21
88000,6.1,30,23
89000,6.166666666666667,33,27
90000,6.1,36,22
91000,6.183333333333334,33,27
92000,6.45,47,22
93000,6.583333333333333,41,18
94000,6.6,34,30
95000,6.55,32,27
96000,6.666666666666667,41,29
97000,6.783333333333333,44,21
98000,6.716666666666667,31,31
99000,6.816666666666666,42,26
100000,6.983333333333333,49,25
101000,7.066666666666666,50,21
102000,7.083333333333333,43,21
103000,7.2,58,19
104000,7.2,55,26
105000,7.266666666666667,57,20
106000,7.266666666666667,63,16
107000,7.4,58,20
108000,7.516666666666667,34,26
109000,7.583333333333333,44,22
110000,7.583333333333333,62,20
111000,7.716666666666667,40,27
112000,7.816666666666666,51,29
113000,7.916666666666667,65,17
114000,7.933333333333334,61,21
115000,7.95,61,22
116000,8.016666666666667,67,21
117000,8.133333333333333,60,24
118000,8.166666666666666,68,20
119000,8.2,70,20
120000,8.25,66,18
121000,8.35,61,21
122000,8.433333333333334,72,18
123000,8.616666666666667,73,20
124000,8.633333333333333,46,23
125000,8.8,62,20
126000,8.816666666666666,53,27
127000,8.916666666666666,83,18
128000,8.916666666666666,58,29
129000,8.933333333333334,63,24
130000,9.05,65,23
131000,9.066666666666666,60,19
132000,9.1,63,23
133000,9.183333333333334,59,25
134000,9.233333333333333,68,21
135000,9.4,54,21
136000,9.483333333333333,72,20
137000,9.55,82,17
138000,9.7,55,21
139000,9.6,89,15
140000,9.833333333333334,79,20
141000,9.9,92,14
142000,9.883333333333333,82,15
143000,9.933333333333334,72,20
144000,9.966666666666667,74,20
145000,10.05,83,23
146000,10.15,86,19
147000,10.1,72,23
148000,10.233333333333333,97,14
149000,10.283333333333333,84,22
150000,10.4,89,19
151000,10.466666666666667,78,20
152000,10.566666666666666,100,15
153000,10.583333333333334,92,14
154000,10.8,91,21
155000,10.8,103,12
156000,10.883333333333333,95,13
157000,10.95,98,19
158000,11.033333333333333,78,20
159000,10.966666666666667,95,14
160000,11.033333333333333,116,12
161000,11.133333333333333,85,21
162000,11.116666666666667,113,16
163000,11.366666666666667,103,18
164000,11.233333333333333,109,11
165000,11.533333333333333,104,18
166000,11.6,97,17
167000,11.583333333333334,104,10
168000,11.716666666666667,104,17
169000,11.766666666666667,103,16
170000,11.9,119,14
171000,11.95,103,16
172000,11.966666666666667,87,18
173000,11.983333333333333,111,16
174000,12.05,103,15
175000,12.083333333333334,107,12
176000,12.3,110,11
177000,12.283333333333333,110,10
178000,12.283333333333333,92,21
179000,12.433333333333334,111,16
180000,12.5,110,11
181000,12.533333333333333,110,20
182000,12.733333333333333,125,12
183000,12.85,104,15
184000,12.816666666666666,115,16
185000,12.833333333333334,98,19
186000,12.966666666666667,135,10
187000,13.05,105,17
188000,13.033333333333333,127,16
189000,13.2,111,18
190000,13.133333333333333,83,16
191000,13.283333333333333,117,11
192000,13.333333333333334,107,18
193000,13.333333333333334,99,16
194000,13.466666666666667,150,11
195000,13.6,109,16
196000,13.633333333333333,138,11
197000,13.75,125,12
198000,13.816666666666666,126,11
199000,13.866666666666667,147,9
200000,13.883333333333333,106,16
201000,13.966666666666667,120,17
202000,14.016666666666667,121,13
203000,14.083333333333334,131,12
204000,14.183333333333334,108,17
205000,14.133333333333333,159,8
206000,14.3,124,16
207000,14.316666666666666,108,18
208000,14.333333333333334,145,13
209000,14.5,120,14
210000,14.666666666666666,135,12
211000,14.65,144,12
212000,14.733333333333333,138,14
213000,14.833333333333334,148,6
214000,14.85,155,9
215000,14.983333333333333,131,13
216000,14.95,146,7
217000,15.083333333333334,112,16
218000,15.1,138,14
219000,15.133333333333333,157,9
220000,15.216666666666667,139,11
221000,15.35,164,7
222000,15.383333333333333,153,13
223000,15.433333333333334,156,8
224000,15.666666666666666,147,10
225000,15.616666666666667,121,14
226000,15.766666666666667,153,6
227000,15.783333333333333,159,10
228000,15.8,139,10
229000,15.883333333333333,146,9
230000,15.966666666666667,143,9
231000,16.05,184,10
232000,16.066666666666666,129,14
233000,16.133333333333333,123,17
234000,16.25,161,10
235000,16.166666666666668,167,9
236000,16.433333333333334,159,6
237000,16.4,152,15
238000,16.533333333333335,150,8
239000,16.683333333333334,149,10
240000,16.616666666666667,156,8
241000,16.766666666666666,167,7
242000,16.8,175,10
243000,16.95,164,8
244000,16.933333333333334,158,7
245000,17.033333333333335,146,12
246000,17.033333333333335,165,6
247000,17.1,174,8
248000,17.116666666666667,136,13
249000,17.25,178,6
250000,17.283333333333335,166,6
251000,17.383333333333333,160,7
252000,17.516666666666666,164,6
253000,17.583333333333332,164,5
254000,17.75,188,3
255000,17.666666666666668,189,7
256000,17.766666666666666,154,11
257000,17.833333333333332,151,6
258000,18.016666666666666,163,9
