Nodes total,Nodes during each observation,Broken frames due to collision,Completed transmissions
1000,0,0,0
2000,0,0,0
3000,0,0,0
4000,0,0,0
5000,0,0,0
6000,0,0,0
7000,0,0,0
8000,1,0,12
9000,1,0,13
10000,1,0,11
11000,1,0,10
12000,1,0,8
13000,1,0,11
14000,1,0,10
15000,1,0,6
16000,1,0,10
17000,1,0,7
18000,1,0,12
19000,1,0,9
20000,1,0,8
21000,1,0,12
22000,2,6,14
23000,2,2,10
24000,2,6,14
25000,2,4,19
26000,2,2,11
27000,2,8,9
28000,2,2,13
29000,2,4,16
30000,2,2,15
31000,2,4,15
32000,2,2,17
33000,2,2,24
34000,2,0,20
35000,2,2,15
36000,2,4,19
37000,3,12,16
38000,3,8,17
39000,3,4,26
40000,3,12,17
41000,3,8,19
42000,3,8,19
43000,3,8,22
44000,3,16,22
45000,3,7,23
46000,3,10,14
47000,3,6,20
48000,3,19,19
49000,3,6,14
50000,3,7,17
51000,4,12,24
52000,4,23,15
53000,4,10,26
54000,4,14,22
55000,4,19,25
56000,4,23,19
57000,4,19,26
58000,4,18,23
59000,4,21,23
60000,4,10,25
61000,4,21,25
62000,4,8,25
63000,4,19,21
64000,4,25,19
65000,5,31,18
66000,5,26,27
67000,5,32,22
68000,5,21,19
69000,5,28,18
70000,5,41,22
71000,5,21,27
72000,5,22,23
73000,5,28,24
74000,5,36,29
75000,5,21,28
76000,5,20,28
77000,5,21,28
78000,5,20,29
79000,5,35,26
80000,6,45,19
81000,6,36,25
82000,6,35,30
83000,6,43,23
84000,6,22,31
85000,6,44,21
86000,6,34,30
87000,6,21,30
88000,6,50,22
89000,6,34,25
90000,6,40,24
91000,6,48,22
92000,6,21,32
93000,6,42,27
94000,7,48,22
95000,7,55,25
96000,7,37,28
97000,7,43,24
98000,7,54,25
99000,7,54,21
100000,7,43,25
101000,7,65,19
102000,7,45,26
103000,7,66,17
104000,7,33,28
105000,7,45,25
106000,7,54,26
107000,7,43,28
108000,8,58,22
109000,8,69,19
110000,8,62,20
111000,8,62,25
112000,8,48,21
113000,8,48,26
114000,8,60,19
115000,8,67,17
116000,8,75,20
117000,8,57,22
118000,8,63,18
119000,8,69,24
120000,8,61,19
121000,8,64,24
122000,8,50,24
123000,9,57,25
124000,9,74,18
125000,9,70,21
126000,9,69,25
127000,9,73,16
128000,9,73,24
129000,9,75,17
130000,9,73,18
131000,9,59,23
132000,9,78,17
133000,9,68,21
134000,9,76,25
135000,9,82,14
136000,9,57,20
137000,10,85,22
138000,10,74,19
139000,10,77,21
140000,10,78,20
141000,10,91,17
142000,10,76,21
143000,10,107,12
144000,10,65,22
145000,10,87,12
146000,10,78,20
147000,10,86,21
148000,10,90,15
149000,10,82,25
150000,10,81,15
151000,10,73,20
152000,11,78,22
153000,11,80,20
154000,11,95,17
155000,11,93,16
156000,11,112,18
157000,11,83,16
158000,11,93,24
159000,11,82,23
160000,11,92,16
161000,11,109,17
162000,11,77,21
163000,11,109,18
164000,11,94,17
165000,11,92,23
166000,12,91,18
167000,12,102,23
168000,12,100,18
169000,12,123,16
170000,12,112,14
171000,12,105,15
172000,12,81,22
173000,12,104,16
174000,12,90,13
175000,12,112,16
176000,12,105,15
177000,12,111,15
178000,12,93,18
179000,12,113,13
180000,12,118,13
181000,13,126,10
182000,13,108,19
183000,13,115,14
184000,13,106,21
185000,13,104,19
186000,13,115,17
187000,13,116,12
188000,13,103,15
189000,13,109,15
190000,13,109,13
191000,13,137,10
192000,13,126,13
193000,13,116,12
194000,13,128,11
195000,14,163,9
196000,14,123,13
197000,14,118,17
198000,14,125,15
199000,14,111,16
200000,14,101,24
201000,14,119,14
202000,14,125,17
203000,14,156,9
204000,14,126,12
205000,14,111,15
206000,14,143,9
207000,14,128,13
208000,14,133,12
209000,15,146,10
210000,15,138,19
211000,15,165,9
212000,15,133,13
213000,15,115,20
214000,15,145,13
215000,15,121,19
216000,15,126,16
217000,15,146,16
218000,15,120,14
219000,15,142,9
220000,15,143,13
221000,15,127,14
222000,15,155,13
223000,15,142,15
224000,16,146,9
225000,16,157,15
226000,16,178,9
227000,16,166,9
228000,16,141,10
229000,16,146,8
230000,16,167,5
231000,16,150,10
232000,16,148,12
233000,16,150,13
234000,16,156,7
235000,16,145,12
236000,16,144,12
237000,16,159,11
238000,17,166,11
239000,17,178,8
240000,17,150,11
241000,17,164,10
242000,17,184,9
243000,17,171,7
244000,17,137,13
245000,17,187,9
246000,17,153,8
247000,17,162,12
248000,17,173,10
249000,17,187,6
250000,17,136,14
251000,17,172,10
252000,17,170,15
253000,18,157,12
254000,18,171,8
255000,18,173,8
256000,18,179,7
257000,18,192,11
258000,18,186,13
259000,18,175,9
260000,18,167,13
261000,18,180,8
262000,18,176,11
263000,18,186,10
264000,18,191,7
265000,18,172,4
266000,18,153,10
267000,19,204,7
268000,19,172,8
269000,19,188,8
270000,19,170,9
271000,19,180,10
