Nodes total,Nodes during each observation,Broken frames due to collision,Completed transmissions
1000,0,0,0
2000,0,0,0
3000,0,0,0
4000,0,0,0
5000,0,0,0
6000,0,0,0
7000,0,0,0
8000,1,0,13
9000,1,0,8
10000,1,0,9
11000,1,0,8
12000,1,0,9
13000,1,0,5
14000,1,0,8
15000,1,0,11
16000,1,0,5
17000,1,0,15
18000,1,0,16
19000,1,0,13
20000,1,0,11
21000,1,0,15
22000,2,4,18
23000,2,4,12
24000,2,6,12
25000,2,2,19
26000,2,10,15
27000,2,4,17
28000,2,0,16
29000,2,0,19
30000,2,6,10
31000,2,2,21
32000,2,2,20
33000,2,10,12
34000,2,6,12
35000,2,4,16
36000,2,2,17
37000,3,17,26
38000,3,12,16
39000,3,8,20
40000,3,10,26
41000,3,16,15
42000,3,10,18
43000,3,10,19
44000,3,14,21
45000,3,10,19
46000,3,6,27
47000,3,12,20
48000,3,2,33
49000,3,2,26
50000,3,2,26
51000,4,13,23
52000,4,27,27
53000,4,16,20
54000,4,9,26
55000,4,23,21
56000,4,17,29
57000,4,10,27
58000,4,4,24
59000,4,14,22
60000,4,13,24
61000,4,14,20
62000,4,4,32
63000,4,11,27
64000,4,16,25
65000,5,20,27
66000,5,20,27
67000,5,17,21
68000,5,35,13
69000,5,19,22
70000,5,22,22
71000,5,42,18
72000,5,31,22
73000,5,35,19
74000,5,19,20
75000,5,25,23
76000,5,16,24
77000,5,22,23
78000,5,30,20
79000,5,28,21
80000,6,37,29
81000,6,40,26
82000,6,35,20
83000,6,52,23
84000,6,39,26
85000,6,36,16
86000,6,33,19
87000,6,38,20
88000,6,45,18
89000,6,46,19
90000,6,42,23
91000,6,35,24
92000,6,35,21
93000,6,42,25
94000,7,31,31
95000,7,34,26
96000,7,38,26
97000,7,55,21
98000,7,44,23
99000,7,55,17
100000,7,46,30
101000,7,47,22
102000,7,41,20
103000,7,43,27
104000,7,62,18
105000,7,45,28
106000,7,44,16
107000,7,51,22
108000,8,59,25
109000,8,67,17
110000,8,66,19
111000,8,76,15
112000,8,78,19
113000,8,50,28
114000,8,60,17
115000,8,53,21
116000,8,60,22
117000,8,46,25
118000,8,39,27
119000,8,42,27
120000,8,52,25
121000,8,66,19
122000,8,44,21
123000,9,69,20
124000,9,65,22
125000,9,69,18
126000,9,74,15
127000,9,73,19
128000,9,52,28
129000,9,68,23
130000,9,68,20
131000,9,69,18
132000,9,75,17
133000,9,75,18
134000,9,79,18
135000,9,63,17
136000,9,55,24
137000,10,87,19
138000,10,84,22
139000,10,103,16
140000,10,87,22
141000,10,87,17
142000,10,81,17
143000,10,77,17
144000,10,76,20
145000,10,72,20
146000,10,84,17
147000,10,81,18
148000,10,73,21
149000,10,77,13
150000,10,67,21
151000,10,73,24
152000,11,85,19
153000,11,105,14
154000,11,97,15
155000,11,112,11
156000,11,102,14
157000,11,97,19
158000,11,102,16
159000,11,81,26
160000,11,128,15
161000,11,91,18
162000,11,69,21
163000,11,114,17
164000,11,107,15
165000,11,87,19
166000,12,95,16
167000,12,109,14
168000,12,117,14
169000,12,128,12
170000,12,113,13
171000,12,94,19
172000,12,110,14
173000,12,108,15
174000,12,105,17
175000,12,91,22
176000,12,99,16
177000,12,105,18
178000,12,107,15
179000,12,79,22
180000,12,104,14
181000,13,105,13
182000,13,104,19
183000,13,125,12
184000,13,100,18
185000,13,120,11
186000,13,113,14
187000,13,132,11
188000,13,134,10
189000,13,106,20
190000,13,105,16
191000,13,92,17
192000,13,129,11
193000,13,137,16
194000,13,127,14
195000,14,142,10
196000,14,116,16
197000,14,137,16
198000,14,114,18
199000,14,129,15
200000,14,147,7
201000,14,130,15
202000,14,147,12
203000,14,127,14
204000,14,120,14
205000,14,144,8
206000,14,113,16
207000,14,113,14
208000,14,134,14
209000,15,144,13
210000,15,134,14
211000,15,146,14
212000,15,139,14
213000,15,148,11
214000,15,151,7
215000,15,137,13
216000,15,127,11
217000,15,143,10
218000,15,151,7
219000,15,126,13
220000,15,132,10
221000,15,134,10
222000,15,138,13
223000,15,131,6
224000,16,147,12
225000,16,158,8
226000,16,158,12
227000,16,142,12
228000,16,165,7
229000,16,134,10
230000,16,158,10
231000,16,162,11
232000,16,144,9
233000,16,147,8
234000,16,137,13
235000,16,150,12
236000,16,151,10
237000,16,144,14
238000,17,166,7
239000,17,170,4
240000,17,159,10
241000,17,169,14
242000,17,163,11
243000,17,150,9
244000,17,175,4
245000,17,162,8
246000,17,171,8
247000,17,137,14
248000,17,133,13
249000,17,149,11
250000,17,158,11
251000,17,181,4
252000,17,171,8
253000,18,170,9
254000,18,176,2
255000,18,162,12
256000,18,159,9
257000,18,190,7
258000,18,166,11
259000,18,174,2
260000,18,185,7
261000,18,157,6
262000,18,187,3
263000,18,163,10
264000,18,175,7
265000,18,174,8
266000,18,179,6
267000,19,199,5
268000,19,211,1
269000,19,186,5
270000,19,190,7
271000,19,196,9
