Nodes total,Nodes during each observation,Broken frames due to collision,Completed transmissions
100000,2.02,24,34
100100,1.93,13,32
100200,1.79,23,29
100300,1.92,12,33
100400,1.89,16,25
100500,2.25,32,29
100600,2.1,17,24
100700,2,13,32
100800,2.18,19,35
100900,1.83,11,39
101000,1.92,8,27
101100,2.15,26,35
101200,2.12,14,34
101300,2.1,26,27
101400,1.99,24,24
101500,2.07,24,29
101600,1.87,26,30
101700,2.05,14,28
101800,2.16,19,35
101900,1.97,13,35
102000,2.07,13,38
102100,2.16,23,34
102200,2.15,14,35
102300,1.88,10,37
102400,1.97,14,27
102500,2.03,17,35
102600,2.08,16,37
102700,2.06,32,33
102800,2.05,22,35
102900,2.11,21,33
103000,2,18,29
103100,2.18,16,30
103200,2.13,20,32
103300,2.27,25,38
103400,2.01,29,26
103500,2.05,19,30
103600,2.16,18,40
103700,2.17,13,40
103800,2.11,25,25
103900,2.12,23,34
104000,2.02,14,36
104100,2.12,2,35
104200,2.31,35,24
104300,2.08,12,35
104400,2.07,18,31
104500,2.21,15,41
104600,1.89,14,33
104700,1.97,10,40
104800,2.16,14,31
104900,2.27,33,28
105000,2.21,19,35
105100,2.02,20,21
105200,2.2,14,31
105300,2.14,17,40
105400,2.28,22,38
105500,2.06,14,36
105600,2.18,10,46
105700,1.75,16,26
105800,2.01,10,31
105900,2.14,22,34
106000,2.19,28,28
106100,1.79,17,31
106200,2.21,24,44
106300,2.02,10,35
106400,2.04,32,35
106500,2.1,21,26
106600,2.11,14,29
106700,1.96,12,35
106800,2.14,19,44
106900,2.02,21,32
107000,2.09,12,30
107100,2.23,13,35
107200,2.04,13,28
107300,2.21,6,38
107400,2.25,31,30
107500,2.19,31,39
107600,2.11,21,41
107700,2.18,32,25
107800,1.98,12,38
107900,2.13,16,39
108000,2.3,24,29
108100,2.31,17,44
108200,2.18,10,29
108300,2.06,13,34
108400,2.32,12,37
108500,2.23,18,37
108600,2.18,20,24
108700,2.36,19,38
108800,2.38,19,36
108900,2.3,21,40
109000,2.15,20,29
109100,2.02,12,36
109200,2.36,26,29
109300,2.27,18,33
109400,2.2,40,25
109500,2.26,9,45
109600,2.22,26,29
109700,2.06,8,35
109800,2.16,18,35
109900,2.21,16,34
110000,2.05,11,35
110100,2.1,29,31
110200,2.26,25,33
110300,2.23,20,32
110400,2.47,36,36
110500,2.16,22,29
110600,2.37,35,36
110700,2.27,26,37
110800,2.3,33,36
110900,2.38,24,42
111000,2.16,12,49
111100,2.2,12,29
111200,2.1,17,37
111300,2.31,20,37
111400,2.3,23,37
111500,2.26,35,36
111600,2.32,25,42
111700,2.3,23,42
111800,2.35,24,40
111900,2.03,11,31
112000,2.16,21,32
112100,2.39,14,37
112200,2.34,10,38
112300,2.48,26,41
112400,2.26,33,27
112500,2.33,18,39
112600,2.23,23,31
112700,2.2,13,36
112800,2.23,22,40
112900,2.23,10,38
113000,2.41,27,39
113100,2.2,22,32
113200,2.31,29,36
113300,2.45,15,35
113400,2.31,26,31
113500,2.27,19,35
113600,2.37,18,40
113700,2.5,22,39
113800,2.23,19,36
113900,2.46,23,39
114000,2.38,26,36
114100,2.47,14,41
114200,2.32,28,35
114300,2.41,29,36
114400,2.43,30,34
114500,2.3,35,27
114600,2.48,25,35
114700,2.35,38,37
114800,2.37,21,40
114900,2.35,22,48
115000,2.33,24,29
115100,2.36,21,40
115200,2.38,15,29
115300,2.26,11,32
115400,2.41,20,45
115500,2.42,22,33
115600,2.48,31,32
115700,2.56,21,43
115800,2.29,32,31
115900,2.3,10,37
116000,2.36,21,41
116100,2.36,24,39
116200,2.33,13,41
116300,2.4,31,38
116400,2.55,20,36
116500,2.45,28,32
116600,2.3,18,41
116700,2.42,32,31
116800,2.36,34,31
116900,2.28,30,38
117000,2.36,19,32
117100,2.43,23,34
117200,2.57,26,31
117300,2.45,18,35
117400,2.42,21,40
117500,2.38,33,33
117600,2.46,20,39
117700,2.14,15,33
117800,2.47,27,33
117900,2.38,27,30
118000,2.32,23,42
118100,2.24,18,32
118200,2.36,20,34
118300,2.43,31,33
118400,2.35,24,35
118500,2.46,10,40
118600,2.53,25,41
118700,2.55,33,40
118800,2.46,24,42
118900,2.57,31,36
119000,2.33,20,29
119100,2.42,24,31
119200,2.38,18,38
119300,2.4,19,35
119400,2.37,25,36
119500,2.44,16,41
119600,2.48,35,32
119700,2.28,22,35
119800,2.52,23,39
119900,2.49,21,38
120000,2.52,28,37
120100,2.33,20,32
120200,2.4,17,33
120300,2.28,27,39
120400,2.36,24,36
120500,2.35,27,42
120600,2.5,17,33
120700,2.5,19,44
120800,2.4,31,37
120900,2.53,26,42
121000,2.43,24,32
121100,2.49,30,26
121200,2.29,26,37
121300,2.55,19,39
121400,2.5,30,36
121500,2.41,24,34
121600,2.47,26,36
121700,2.58,31,38
121800,2.45,33,33
121900,2.61,29,44
122000,2.52,25,38
122100,2.43,24,40
122200,2.47,22,34
122300,2.33,21,37
122400,2.54,26,33
122500,2.46,17,48
122600,2.49,30,32
122700,2.46,27,47
122800,2.33,25,35
122900,2.51,26,33
123000,2.67,27,49
123100,2.53,20,42
123200,2.64,36,44
123300,2.43,28,32
123400,2.45,31,39
123500,2.46,23,36
123600,2.52,23,46
123700,2.5,31,33
123800,2.62,21,36
123900,2.44,17,30
124000,2.53,28,43
124100,2.48,27,33
124200,2.55,22,49
124300,2.77,35,40
124400,2.55,29,37
124500,2.44,25,30
124600,2.39,26,36
124700,2.6,38,31
124800,2.67,35,42
124900,2.3,16,34
125000,2.65,27,40
125100,2.7,35,40
125200,2.37,16,35
125300,2.53,13,36
125400,2.58,21,43
125500,2.53,16,42
125600,2.47,20,43
125700,2.52,29,38
125800,2.6,19,42
125900,2.64,18,38
126000,2.87,35,38
126100,2.6,25,40
126200,2.58,28,36
126300,2.57,27,42
126400,2.54,15,39
126500,2.52,34,36
126600,2.52,26,40
126700,2.5,19,29
126800,2.63,33,33
126900,2.61,37,36
127000,2.54,18,38
127100,2.76,38,36
127200,2.52,29,33
127300,2.42,28,41
127400,2.52,31,41
127500,2.52,20,33
127600,2.68,29,32
127700,2.44,28,35
127800,2.52,25,36
127900,2.38,29,33
128000,2.59,33,36
128100,2.41,28,32
