Nodes total,Nodes during each observation,Broken frames due to collision,Completed transmissions
100000,1.97,18,36
101000,2.03,22,29
102000,2,8,37
103000,2.05,11,30
104000,2.02,12,33
105000,2.17,24,30
106000,2.27,24,37
107000,2.15,19,30
108000,2.29,19,39
109000,2.19,25,36
110000,2.24,25,35
111000,2.3,25,33
112000,2.25,25,36
113000,2.11,10,41
114000,2.34,27,29
115000,2.31,11,36
116000,2.35,20,40
117000,2.26,26,28
118000,2.43,28,33
119000,2.35,36,33
120000,2.14,24,36
121000,2.59,39,34
122000,2.51,22,34
123000,2.38,20,43
124000,2.41,18,35
125000,2.42,32,33
126000,2.54,24,42
127000,2.64,15,43
128000,2.54,19,41
129000,2.63,40,27
130000,2.58,39,31
131000,2.53,22,32
132000,2.69,21,39
133000,2.69,24,40
134000,2.77,30,36
135000,2.68,40,35
136000,2.82,30,40
137000,2.96,37,40
138000,2.72,12,41
139000,2.77,39,35
140000,2.81,48,30
141000,2.84,29,32
142000,3.06,44,46
143000,2.69,38,46
144000,3.06,50,33
145000,2.96,24,54
146000,2.86,39,29
147000,3.1,27,41
148000,3.17,47,33
149000,2.95,25,37
150000,2.93,29,33
151000,3.13,43,43
152000,3.01,30,46
153000,2.94,25,44
154000,3.27,48,50
155000,3.06,26,38
156000,3.19,38,42
157000,3.25,51,37
158000,3.02,35,39
159000,3.04,43,36
160000,3.11,23,45
161000,3.25,35,38
162000,3.36,33,51
163000,3.31,56,35
164000,3.53,43,44
165000,3.41,58,38
166000,3.35,50,39
167000,3.36,46,38
168000,3.28,40,36
169000,3.43,46,43
170000,3.32,36,42
171000,3.57,46,31
172000,3.34,50,34
173000,3.42,53,44
174000,3.49,62,35
175000,3.51,48,39
176000,3.68,54,44
177000,3.62,52,36
178000,3.51,55,38
179000,3.68,55,36
180000,3.71,54,41
181000,3.66,49,42
182000,3.54,47,45
183000,3.67,55,43
184000,3.52,66,35
185000,3.75,31,38
186000,3.88,59,42
187000,3.84,63,39
188000,3.69,62,33
189000,3.82,72,38
190000,3.86,48,39
191000,3.87,59,42
192000,3.98,58,41
