Nodes total,Nodes during each observation,Broken frames due to collision,Completed transmissions
1000,0,0,0
2000,0,0,0
3000,0,0,0
4000,0,0,0
5000,0,0,0
6000,0,0,0
7000,0,0,0
8000,1,0,11
9000,1,0,15
10000,1,0,7
11000,1,0,9
12000,1,0,8
13000,1,0,14
14000,1,0,13
15000,1,0,10
16000,1,0,7
17000,1,0,13
18000,1,0,8
19000,1,0,12
20000,1,0,13
21000,1,0,16
22000,2,4,15
23000,2,2,19
24000,2,4,8
25000,2,0,19
26000,2,2,17
27000,2,2,24
28000,2,2,19
29000,2,2,16
30000,2,2,18
31000,2,2,16
32000,2,2,20
33000,2,0,11
34000,2,4,20
35000,2,8,12
36000,2,4,13
37000,3,4,18
38000,3,12,29
39000,3,8,23
40000,3,17,22
41000,3,6,24
42000,3,7,20
43000,3,8,14
44000,3,6,22
45000,3,8,26
46000,3,10,23
47000,3,10,20
48000,3,12,20
49000,3,4,22
50000,3,9,23
51000,4,26,23
52000,4,12,20
53000,4,19,21
54000,4,24,28
55000,4,14,23
56000,4,28,15
57000,4,16,23
58000,4,18,26
59000,4,18,24
60000,4,15,26
61000,4,17,25
62000,4,19,20
63000,4,21,24
64000,4,12,29
65000,5,24,24
66000,5,29,19
67000,5,20,18
68000,5,33,21
69000,5,38,22
70000,5,16,31
71000,5,26,25
72000,5,29,27
73000,5,39,19
74000,5,29,21
75000,5,27,23
76000,5,24,21
77000,5,34,23
78000,5,27,24
79000,5,30,20
80000,6,44,26
81000,6,28,20
82000,6,26,32
83000,6,23,29
84000,6,42,18
85000,6,27,25
86000,6,14,28
87000,6,38,20
88000,6,42,22
89000,6,40,31
90000,6,59,22
91000,6,34,26
92000,6,39,22
93000,6,27,29
94000,7,49,26
95000,7,47,24
96000,7,38,21
97000,7,51,28
98000,7,29,23
99000,7,62,19
100000,7,48,27
101000,7,58,20
102000,7,49,17
103000,7,45,17
104000,7,37,25
105000,7,36,28
106000,7,54,25
107000,7,50,24
108000,8,65,22
109000,8,66,22
110000,8,59,20
111000,8,70,20
112000,8,64,21
113000,8,55,26
114000,8,56,21
115000,8,70,24
116000,8,58,25
117000,8,64,22
118000,8,60,21
119000,8,50,26
120000,8,56,22
121000,8,48,18
122000,8,82,17
123000,9,72,21
124000,9,66,25
125000,9,67,22
126000,9,70,14
127000,9,63,20
128000,9,65,25
129000,9,69,16
130000,9,66,25
131000,9,75,22
132000,9,65,20
133000,9,67,22
134000,9,80,19
135000,9,66,22
136000,9,52,23
137000,10,96,14
138000,10,81,19
139000,10,75,26
140000,10,96,15
141000,10,92,17
142000,10,49,25
143000,10,92,17
144000,10,55,27
145000,10,68,26
146000,10,95,17
147000,10,83,20
148000,10,103,16
149000,10,87,13
150000,10,100,15
151000,10,92,14
152000,11,107,12
153000,11,97,19
154000,11,110,9
155000,11,91,17
156000,11,99,15
157000,11,97,17
158000,11,106,14
159000,11,77,15
160000,11,87,16
161000,11,94,15
162000,11,77,13
163000,11,109,17
164000,11,99,15
165000,11,91,22
166000,12,98,16
167000,12,112,15
168000,12,100,17
169000,12,110,12
170000,12,115,12
171000,12,114,14
172000,12,109,12
173000,12,108,10
174000,12,102,20
175000,12,106,15
176000,12,116,13
177000,12,120,15
178000,12,110,19
179000,12,91,18
180000,12,105,10
181000,13,118,12
182000,13,115,18
183000,13,115,10
184000,13,120,16
185000,13,125,14
186000,13,111,12
187000,13,123,11
188000,13,112,12
189000,13,129,9
190000,13,117,15
191000,13,106,19
192000,13,108,17
193000,13,96,16
194000,13,117,13
195000,14,116,13
196000,14,124,15
197000,14,133,10
198000,14,133,14
199000,14,125,16
200000,14,136,9
201000,14,132,10
202000,14,113,12
203000,14,126,14
204000,14,123,14
205000,14,143,8
206000,14,121,10
207000,14,132,9
208000,14,143,11
209000,15,145,11
210000,15,129,15
211000,15,129,16
212000,15,139,12
213000,15,108,19
214000,15,120,15
215000,15,134,16
216000,15,140,13
217000,15,135,14
218000,15,159,11
219000,15,137,14
220000,15,118,14
221000,15,143,9
222000,15,133,13
223000,15,124,12
224000,16,160,6
225000,16,153,10
226000,16,160,7
227000,16,141,10
228000,16,128,13
229000,16,135,12
230000,16,160,8
231000,16,150,6
232000,16,167,7
233000,16,151,11
234000,16,160,10
235000,16,170,4
236000,16,166,8
237000,16,143,12
238000,17,117,15
239000,17,149,15
240000,17,166,8
241000,17,156,9
242000,17,157,8
243000,17,141,13
244000,17,147,12
245000,17,149,10
246000,17,152,10
247000,17,171,10
248000,17,152,10
249000,17,175,8
250000,17,162,9
251000,17,131,9
252000,17,184,3
253000,18,167,9
254000,18,161,9
255000,18,166,4
256000,18,180,8
257000,18,163,8
258000,18,159,7
259000,18,167,8
260000,18,164,9
261000,18,165,12
262000,18,166,4
263000,18,170,8
264000,18,192,6
265000,18,180,11
266000,18,193,5
267000,19,199,3
268000,19,198,3
269000,19,172,7
270000,19,204,2
271000,19,184,5
