Nodes total,Nodes during each observation,Broken frames due to collision,Completed transmissions
1000,0.0,0,0
2000,0.0,0,0
3000,0.0,0,0
4000,0.0,0,0
5000,0.0,0,0
6000,0.0,0,0
7000,0.31666666666666665,0,4
8000,0.85,0,4
9000,1.0,0,7
10000,1.0,0,9
11000,1.0,0,13
12000,1.0,0,8
13000,1.0,0,10
14000,1.0,0,5
15000,1.0,0,14
16000,1.0,0,11
17000,1.0,0,7
18000,1.0333333333333334,0,6
19000,1.0666666666666667,0,9
20000,1.15,0,11
21000,1.5166666666666666,2,8
22000,1.5166666666666666,0,15
23000,1.7,4,19
24000,1.7833333333333334,2,19
25000,1.9333333333333333,4,15
26000,1.9,8,17
27000,1.95,0,20
28000,2.0,6,17
29000,1.9833333333333334,4,14
30000,2.0166666666666666,4,12
31000,2.033333333333333,2,22
32000,2.1166666666666667,8,16
33000,2.15,6,21
34000,2.2666666666666666,2,17
35000,2.3833333333333333,2,19
36000,2.3666666666666667,8,16
37000,2.5833333333333335,6,18
38000,2.7333333333333334,5,21
39000,2.8666666666666667,6,21
40000,2.85,10,18
41000,2.95,16,16
42000,2.95,9,13
43000,3.0166666666666666,6,19
44000,3.05,14,19
45000,3.1166666666666667,11,20
46000,3.066666666666667,15,19
47000,3.25,8,23
48000,3.45,15,27
49000,3.433333333333333,13,13
50000,3.433333333333333,12,23
51000,3.55,12,16
52000,3.6333333333333333,11,17
53000,3.65,12,22
54000,3.7,13,26
55000,3.8333333333333335,27,22
56000,3.9,8,27
57000,3.9,22,22
58000,4.083333333333333,20,20
59000,4.05,8,27
60000,4.183333333333334,16,22
61000,4.083333333333333,33,24
62000,4.15,4,24
63000,4.266666666666667,21,21
64000,4.483333333333333,19,24
65000,4.516666666666667,23,22
66000,4.55,27,27
67000,4.816666666666666,25,20
68000,4.65,31,23
69000,4.666666666666667,27,27
70000,4.966666666666667,25,25
71000,4.816666666666666,30,21
72000,4.966666666666667,22,21
73000,4.883333333333334,31,27
74000,5.15,36,25
75000,5.15,34,19
76000,5.283333333333333,25,24
77000,5.466666666666667,30,21
78000,5.383333333333334,26,33
79000,5.416666666666667,49,16
80000,5.716666666666667,32,20
81000,5.766666666666667,22,27
82000,5.683333333333334,26,27
83000,5.766666666666667,42,16
84000,5.833333333333333,36,26
85000,5.966666666666667,42,22
86000,5.95,27,28
87000,6.1,30,24
88000,6.2,44,21
89000,6.2,30,26
90000,6.233333333333333,41,21
91000,6.25,31,23
92000,6.416666666666667,42,21
93000,6.633333333333334,32,23
94000,6.55,32,22
95000,6.516666666666667,39,24
96000,6.633333333333334,49,19
97000,6.666666666666667,45,18
98000,6.616666666666666,60,24
99000,7.016666666666667,43,25
100000,7.133333333333334,47,20
101000,7.1,60,16
102000,7.1,43,25
103000,7.083333333333333,43,22
104000,7.133333333333334,49,21
105000,7.25,62,18
106000,7.383333333333334,56,22
107000,7.533333333333333,33,31
108000,7.45,63,17
109000,7.516666666666667,53,27
110000,7.45,61,17
111000,7.833333333333333,59,20
112000,7.683333333333334,73,18
113000,7.733333333333333,54,19
114000,7.983333333333333,55,25
115000,8.0,68,20
116000,7.95,50,23
117000,8.116666666666667,54,22
118000,8.1,51,23
119000,8.416666666666666,53,25
120000,8.183333333333334,55,25
121000,8.4,82,13
122000,8.483333333333333,60,24
123000,8.533333333333333,67,21
124000,8.483333333333333,65,21
125000,8.683333333333334,60,23
126000,8.966666666666667,85,12
127000,8.916666666666666,63,24
128000,8.733333333333333,76,18
129000,9.1,64,20
130000,9.066666666666666,60,27
131000,9.05,59,24
132000,9.266666666666667,84,23
133000,9.083333333333334,80,22
134000,9.366666666666667,70,20
135000,9.533333333333333,67,25
136000,9.216666666666667,74,22
137000,9.583333333333334,52,28
138000,9.783333333333333,82,20
139000,9.433333333333334,98,21
140000,9.916666666666666,72,23
141000,9.766666666666667,98,18
142000,9.816666666666666,91,23
143000,9.95,83,18
144000,10.1,71,24
145000,10.133333333333333,74,21
146000,10.2,82,17
147000,10.05,98,19
148000,10.45,65,23
149000,10.2,92,16
150000,10.383333333333333,103,11
151000,10.483333333333333,83,16
152000,10.55,84,18
153000,10.45,75,20
154000,10.5,79,15
155000,10.85,98,17
156000,10.883333333333333,103,15
157000,10.933333333333334,87,21
158000,10.933333333333334,102,18
159000,11.266666666666667,92,18
160000,11.0,97,22
161000,11.05,108,15
162000,11.016666666666667,89,14
163000,11.583333333333334,95,17
164000,11.333333333333334,81,23
165000,11.516666666666667,105,14
166000,11.383333333333333,98,18
167000,11.5,111,13
168000,11.6,98,14
169000,11.716666666666667,111,14
170000,11.683333333333334,99,17
171000,12.016666666666667,99,12
172000,11.9,111,14
173000,12.216666666666667,123,14
174000,11.933333333333334,112,17
175000,12.25,92,16
176000,12.433333333333334,102,15
177000,12.3,101,18
178000,12.45,97,14
179000,12.3,125,9
180000,12.6,104,14
181000,12.633333333333333,107,16
182000,12.383333333333333,89,18
183000,12.9,114,9
184000,12.666666666666666,131,14
185000,12.9,108,12
186000,12.716666666666667,128,12
187000,12.966666666666667,110,13
188000,12.933333333333334,117,15
189000,12.983333333333333,117,15
190000,13.25,99,18
191000,13.2,109,14
192000,13.25,100,17
193000,13.4,125,11
194000,13.55,134,12
195000,13.7,123,19
196000,13.733333333333333,129,13
197000,13.6,123,16
198000,14.0,147,12
199000,13.583333333333334,129,13
200000,14.116666666666667,114,19
201000,13.75,132,12
202000,14.166666666666666,112,18
203000,14.266666666666667,121,12
204000,14.05,143,11
205000,14.133333333333333,119,14
206000,14.366666666666667,123,14
207000,14.566666666666666,148,9
208000,14.483333333333333,141,10
209000,14.433333333333334,133,12
210000,14.916666666666666,134,9
211000,14.65,146,10
212000,14.55,138,9
213000,14.45,135,13
214000,14.616666666666667,116,16
215000,15.1,157,13
216000,14.7,124,15
217000,15.25,111,16
218000,14.966666666666667,158,6
219000,15.016666666666667,143,12
220000,15.333333333333334,153,9
221000,15.366666666666667,141,15
222000,15.283333333333333,154,10
223000,15.45,156,13
224000,15.333333333333334,136,17
225000,15.733333333333333,159,5
226000,15.25,136,12
227000,15.566666666666666,154,9
228000,15.866666666666667,161,7
229000,16.083333333333332,178,7
230000,16.383333333333333,160,12
231000,15.466666666666667,142,12
232000,15.666666666666666,121,15
233000,16.083333333333332,127,12
234000,16.083333333333332,158,7
235000,16.333333333333332,140,13
236000,16.583333333333332,188,5
237000,16.333333333333332,158,6
238000,16.483333333333334,133,11
239000,16.533333333333335,147,11
240000,16.983333333333334,185,4
241000,16.733333333333334,177,4
242000,16.85,164,5
243000,17.0,171,5
244000,16.966666666666665,143,11
245000,17.316666666666666,170,7
246000,17.116666666666667,150,10
247000,17.216666666666665,168,9
248000,17.35,141,13
249000,17.366666666666667,159,7
250000,17.6,182,6
251000,17.1,160,8
252000,17.133333333333333,164,5
253000,17.616666666666667,169,6
254000,18.016666666666666,181,5
255000,17.666666666666668,174,11
256000,17.666666666666668,171,7
257000,17.683333333333334,162,8
258000,17.716666666666665,137,16
259000,17.883333333333333,175,8
260000,17.983333333333334,171,6
261000,18.516666666666666,199,3
262000,18.0,177,6
263000,17.9,162,7
264000,18.083333333333332,184,4
265000,18.183333333333334,175,5
266000,18.3,164,12
267000,18.2,197,6
268000,18.933333333333334,211,6
269000,18.733333333333334,199,5
270000,19.116666666666667,177,7
271000,19.116666666666667,178,9
272000,18.866666666666667,175,11
273000,19.05,163,9
274000,18.8,170,7
275000,19.333333333333332,178,8
276000,18.9,173,9
277000,19.116666666666667,174,12
278000,19.4,191,6
279000,19.883333333333333,201,9
280000,19.316666666666666,194,6
281000,19.05,196,6
282000,20.216666666666665,202,3
283000,19.933333333333334,190,4
284000,20.2,173,10
285000,20.05,237,2
286000,19.75,213,6
287000,20.116666666666667,206,2
288000,19.883333333333333,197,5
289000,20.05,218,4
290000,19.916666666666668,219,3
291000,20.033333333333335,197,5
292000,19.883333333333333,201,4
293000,20.85,186,6
294000,20.333333333333332,196,5
295000,20.433333333333334,200,5
296000,20.883333333333333,192,7
297000,20.566666666666666,213,7
298000,20.883333333333333,164,11
299000,20.766666666666666,181,5
300000,20.533333333333335,218,6
301000,20.933333333333334,201,6
302000,21.0,211,4
303000,21.133333333333333,204,6
304000,21.15,216,2
305000,21.433333333333334,225,6
306000,21.216666666666665,208,7
307000,20.833333333333332,231,4
308000,21.45,211,3
309000,21.983333333333334,198,4
310000,21.483333333333334,222,4
311000,21.383333333333333,196,7
312000,21.183333333333334,204,6
313000,22.116666666666667,192,8
314000,21.316666666666666,220,4
315000,21.633333333333333,179,5
316000,22.133333333333333,215,2
317000,21.933333333333334,224,4
318000,22.05,232,4
319000,22.316666666666666,182,7
320000,21.783333333333335,225,5
321000,22.683333333333334,212,1
322000,22.7,229,4
323000,23.016666666666666,230,4
324000,22.883333333333333,212,4
325000,22.65,250,3
326000,21.966666666666665,211,5
327000,22.883333333333333,229,7
328000,22.633333333333333,225,3
329000,23.316666666666666,227,5
330000,22.883333333333333,242,3
331000,22.583333333333332,250,2
332000,23.533333333333335,267,1
333000,23.033333333333335,224,7
334000,22.8,208,3
335000,23.15,268,1
336000,23.783333333333335,225,4
337000,23.55,208,4
338000,23.25,213,7
339000,24.016666666666666,255,3
340000,23.333333333333332,261,4
341000,23.966666666666665,226,6
342000,24.033333333333335,216,3
343000,23.75,208,6
344000,23.633333333333333,237,5
345000,24.533333333333335,270,1
346000,24.083333333333332,241,3
347000,23.766666666666666,227,6
348000,23.716666666666665,216,5
349000,24.166666666666668,247,2
350000,24.75,213,6
351000,24.4,235,1
352000,24.366666666666667,240,4
353000,24.933333333333334,246,4
354000,24.55,236,1
355000,24.533333333333335,229,5
356000,24.6,244,5
357000,24.516666666666666,267,1
358000,24.666666666666668,251,2
359000,24.933333333333334,258,4
360000,25.333333333333332,265,2
361000,24.5,244,2
362000,25.933333333333334,262,1
363000,24.833333333333332,256,3
364000,25.416666666666668,256,3
365000,25.483333333333334,258,1
366000,25.45,270,4
367000,26.083333333333332,248,4
368000,25.2,261,2
369000,26.2,280,2
370000,25.9,276,5
371000,25.6,249,2
372000,25.666666666666668,264,1
373000,26.316666666666666,256,2
374000,25.95,265,4
375000,26.133333333333333,246,2
376000,25.883333333333333,294,1
377000,25.983333333333334,303,3
378000,25.566666666666666,259,2
379000,26.25,271,3
380000,26.266666666666666,248,1
381000,26.733333333333334,250,4
382000,27.233333333333334,287,5
383000,26.1,263,3
384000,26.816666666666666,259,2
385000,26.466666666666665,257,2
386000,27.066666666666666,287,2
387000,26.733333333333334,256,1
388000,26.633333333333333,265,3
389000,26.916666666666668,298,1
390000,26.966666666666665,267,3
391000,27.2,259,2
392000,27.383333333333333,267,3
393000,27.95,289,0
394000,26.45,260,3
395000,27.333333333333332,262,3
396000,27.883333333333333,287,3
397000,27.466666666666665,280,1
398000,27.45,275,2
399000,27.383333333333333,255,0
400000,27.633333333333333,252,5
401000,27.583333333333332,282,5
402000,27.916666666666668,271,1
403000,27.816666666666666,277,3
404000,28.166666666666668,271,0
405000,27.65,288,1
406000,28.3,287,3
407000,27.9,304,1
408000,27.866666666666667,280,5
409000,28.383333333333333,282,2
410000,28.866666666666667,275,4
411000,28.533333333333335,284,1
412000,28.9,305,1
413000,28.683333333333334,299,2
414000,28.433333333333334,285,2
415000,29.15,283,4
416000,28.133333333333333,264,2
417000,28.6,296,4
418000,29.416666666666668,285,3
419000,29.5,289,2
420000,28.85,289,3
421000,29.316666666666666,288,3
422000,28.65,298,2
423000,29.666666666666668,314,0
424000,29.25,310,0
425000,29.3,279,1
426000,29.516666666666666,280,1
427000,29.633333333333333,310,1
428000,29.933333333333334,316,1
429000,29.966666666666665,310,2
430000,29.983333333333334,294,1
431000,29.733333333333334,309,2
432000,29.916666666666668,304,1
433000,30.15,294,1
434000,30.4,295,3
435000,30.916666666666668,310,1
436000,30.583333333333332,274,4
437000,30.416666666666668,316,2
438000,31.05,295,0
439000,30.583333333333332,294,5
440000,30.566666666666666,288,4
441000,29.85,278,1
442000,30.416666666666668,300,2
443000,30.333333333333332,270,4
444000,30.766666666666666,321,1
445000,30.183333333333334,300,1
446000,30.5,277,1
447000,30.783333333333335,308,1
448000,30.833333333333332,313,0
449000,32.31666666666667,324,2
450000,30.95,349,0
451000,31.233333333333334,342,0
452000,31.333333333333332,291,3
453000,32.06666666666667,348,0
454000,31.566666666666666,308,2
455000,31.783333333333335,301,2
456000,31.75,294,1
457000,31.966666666666665,314,1
458000,31.55,305,2
459000,31.7,342,2
460000,32.05,304,1
461000,31.616666666666667,296,1
462000,31.566666666666666,313,0
463000,32.35,303,0
464000,32.05,296,2
465000,32.7,331,0
466000,32.86666666666667,326,2
467000,32.35,319,1
468000,32.86666666666667,320,0
469000,32.28333333333333,338,1
470000,32.7,336,1
471000,32.85,331,0
472000,32.9,320,3
473000,33.733333333333334,337,0
474000,33.05,310,1
475000,32.733333333333334,342,1
476000,32.65,343,0
477000,32.266666666666666,322,2
478000,32.7,321,1
479000,33.1,338,1
480000,32.68333333333333,300,1
481000,33.483333333333334,362,0
482000,34.11666666666667,374,0
483000,33.016666666666666,346,1
484000,33.666666666666664,383,0
485000,33.516666666666666,333,1
486000,33.766666666666666,318,1
487000,34.166666666666664,341,0
488000,33.55,347,0
489000,33.583333333333336,329,1
490000,33.6,315,2
491000,33.95,338,2
492000,33.13333333333333,337,2
493000,34.6,339,1
494000,34.016666666666666,354,0
495000,34.8,338,0
496000,34.6,343,1
497000,34.55,356,0
498000,35.2,376,0
499000,34.85,320,0
500000,34.95,394,0
501000,35.1,353,1
502000,34.833333333333336,363,0
503000,35.11666666666667,341,1
504000,35.03333333333333,332,0
505000,35.31666666666667,345,0
506000,34.583333333333336,355,1
507000,35.1,351,1
508000,35.233333333333334,355,1
509000,35.2,362,0
510000,35.7,339,0
511000,35.25,345,0
512000,35.53333333333333,347,0
513000,34.833333333333336,341,0
514000,35.983333333333334,368,0
515000,35.38333333333333,372,0
516000,36.0,327,2
517000,35.75,359,2
518000,36.3,362,1
519000,36.21666666666667,371,0
520000,35.56666666666667,382,0
521000,37.166666666666664,349,1
522000,36.95,337,1
523000,36.05,385,0
524000,36.166666666666664,354,1
525000,36.86666666666667,361,0
526000,36.233333333333334,356,1
527000,36.666666666666664,371,2
528000,36.516666666666666,356,1
529000,36.516666666666666,341,2
530000,36.083333333333336,352,2
531000,37.45,365,1
532000,37.5,384,0
533000,36.71666666666667,377,0
534000,36.766666666666666,338,0
535000,36.833333333333336,355,1
536000,37.31666666666667,383,2
537000,36.93333333333333,360,0
538000,37.25,345,1
539000,37.46666666666667,361,0
540000,36.35,353,1
541000,37.18333333333333,375,0
542000,37.28333333333333,332,1
543000,37.25,341,1
544000,37.7,381,1
545000,38.333333333333336,418,0
546000,37.31666666666667,408,0
547000,38.11666666666667,391,1
548000,37.9,366,0
549000,38.516666666666666,356,0
550000,38.666666666666664,390,0
551000,37.95,391,0
552000,38.53333333333333,400,0
553000,38.55,381,0
554000,38.9,400,0
555000,39.28333333333333,372,0
556000,38.65,391,0
